Class,HMDBID,Name,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30
Amino Acids,HMDB0000125,Glutathione,932.72,2104.66,5966.89,1070.9,1332.67,7115.44,865.81,3847.54,1210.41,4343.96,4396.34,3204.22,4230.85,1720.85,5906.6,1547.83,3949.8,6163.89,4944.35,1687.86,5510.41,6699.69,4362.28,3011.99,5101.29,1659.9,2603.49,1081.8,1934.91,2507.11
Amino Acids,HMDB0000148,L-Glutamic acid,1549.22,5932.82,12235.52,2803.01,3996.55,14209.06,3158.81,9477.49,3895.29,11132.55,7347.2,7492.38,363.63,5710.65,11686.1,6260.33,10329.36,11847.13,9279.62,5411.61,9219.09,13391.34,10938.62,6406.88,5722.29,6820.51,193.08,3848.69,5959.6,7592.98
Amino Acids,HMDB0000687,L-Leucine,991.62,1532.39,5433.76,947.96,2809.65,1549.25,610.75,2793.41,1215.24,2070.31,1434.57,1126.67,579.13,1708.99,1497.32,497.07,1340.82,2387.37,1486.41,1151.8,2784.9,2158.88,2151.85,1450.23,3458.14,1168.16,1810.93,2071.09,774.36,1721.84
Amino Acids,HMDB0001645,L-Norleucine,9.8,223.11,51.45,320.84,640.96,604.94,126.5,609.58,10.71,601.99,401.98,326.95,190.78,17.7,60.24,18.52,298.39,819.16,24.41,9.51,716.64,718.46,8.89,435.75,34.35,15.43,11.57,45.77,186.45,434.63
Amino Acids,HMDB0000056,Beta-Alanine,73.02,80.74,247.23,83.46,221.88,464.81,32.38,2702.81,261.98,217.72,36.83,107.01,54.13,1278.49,727.63,88.89,593.02,128.26,993.07,56.45,447.26,431.1,439.36,340.36,246.06,52.19,425.99,711.44,42.59,90.06
Amino Acids,HMDB0000162,L-Proline,161.72,347.58,1301.41,329.02,307.29,1159.69,263.5,2074.85,631.78,817.22,428.73,474.73,236.79,442.78,787.28,245.59,651.71,1451.56,629.34,488.69,728.53,1269.45,864.23,644.81,885.8,614.94,223.08,232.79,410.98,585.56
Amino Acids,HMDB0000172,L-Isoleucine,194.27,264.77,3431.35,630.98,1274.88,1208.5,247.31,1134.55,477.12,1155.56,762.31,577.43,373.68,1314.97,914.25,364.37,568.03,1605.99,759.8,645.79,1394.69,1405.16,1224.17,454.21,2146.35,506.74,951.28,666.63,349.98,834.61
Amino Acids,HMDB0000187,L-Serine,175.31,370.02,1790.32,303.24,375.31,975.19,206.69,1100.96,350.69,1144.36,650.88,633.8,157.02,731.52,523,258.06,708.85,1189.52,857.92,516.28,806.89,1284.21,805.87,557.82,1555.9,471.39,164.14,280.75,315.34,599.26
Amino Acids,HMDB0000742,Homocysteine,31543.33,9221.75,409.41,54717.86,55645.65,42360.13,1759.69,473356.41,176439.31,21249.9,9183.25,71157.44,4691.44,57572.91,4253.57,6417.03,133118.23,6884.13,439395.75,7486.65,47426.2,4050.54,105275.77,46852.72,319388.88,161562.73,2784.41,46120.43,6729.99,42339.24
Amino Acids,HMDB0000883,L-Valine,1397.01,1676.22,3864.32,1484.24,2871,1366.69,301.69,2489.1,782.69,1273.44,753.86,674.04,605.77,1953.43,981.77,616.83,1002.82,1557.01,1093.47,770.36,2358.67,1433.27,1197.62,804.79,2082.24,1119.84,1345.93,2081.46,362.76,856.24
Cinmic acids,HMDB0000567,Cinnamic acid,4.37,2.1,0.19,0.13,1.16,6.44,41,3.47,0.16,1.4,0.3,0.4,1.92,1.04,0.8,1.38,0.22,1.69,8.36,0.62,2.61,10.93,11.49,0.17,2.13,0.38,0.21,0.91,8.83,0.44
Fatty Acids,HMDB0000673,Linoleic acid,10838.61,4090.02,8395.7,11083.81,5435.57,1312.88,2953.06,6352.51,7143.37,9318.24,2930.82,7818.73,10834.4,4245.2,4935.09,2030.56,8247.67,3109.4,5368.38,5255.58,1633.69,120.59,165.11,3626.23,7727.63,2282.77,4985.93,3491.01,6615.53,4360.79
Fatty Acids,HMDB0000638,Dodecanoic acid,5.03,278.95,70.1,55.11,327.49,113.31,365.75,86.11,52.16,50.35,66.04,139.04,13.11,48.64,69.42,381.67,121.67,478.38,288.52,183.87,42.63,156.38,160.64,75.19,349.22,213.57,176.34,48.22,124.95,104.63
Fatty Acids,HMDB0000806,Myristic acid,157.12,855,499.54,149.27,2067.86,1386.31,274.75,529.64,393.67,262.41,530.32,470.89,192.34,418.52,982.78,1235.65,916.64,2798.32,2908.68,832.33,272.49,657.99,1768.25,280.54,2781.24,1172.34,1131.16,505.3,214.32,482.67
Fatty Acids,HMDB0000511,Capric acid,20,64.29,20.68,15.82,48.98,34.63,176.94,28.92,19.65,119.19,39.01,24.29,3.35,21.13,7.4,113.13,25.17,105.33,76.41,30.76,10.71,41.1,53.49,390.13,127.16,64.43,23.2,16.22,56.12,38.18
Fatty Acids,HMDB0002231,Eicosenoic acid,34.82,67.06,439.96,95.93,50.94,44.94,105.31,62.63,31.65,32.8,44.94,413.81,120.83,75.42,43.9,147.32,120.72,100.84,108.82,55.69,42.82,272.78,523.02,69.48,113.27,78.75,35.58,151.22,61.69,495.19
Fatty Acids,HMDB0002823,Docosatrienoic acid,52.2,84.14,186.57,35.44,1.79,64,3.71,76.47,21,75,19.09,256.16,215.38,18.96,37.81,7.9,14.85,172.81,174.77,31.84,4.97,14.41,22.58,1.8,12.12,7.83,16.92,115.69,99.58,15.12
Fatty Acids,META00001,4-Methylhexanoic acid,19129.96,28817.02,8913.59,3973.69,28511.14,34635.88,9855,32940.9,2395.32,33010.33,9499.37,28769.81,25390.54,28645.49,26047.22,10400.74,17312.39,1972.46,29077.88,13250.74,29705.54,9599.06,8775.51,28515.44,17057.94,26584.55,8563.02,4731.5,7864.89,26346.63
Fatty Acids,HMDB0000529,5-Dodecenoic acid,53.19,299.12,82.47,56.52,29.08,62,78.88,101.02,64.35,71.08,20.65,50.94,20.15,10.59,17.95,68.45,61.97,25.75,59.88,11.73,23.84,42.4,43.42,31.88,54,28.09,58.31,54.59,50.92,12.4
Fatty Acids,HMDB0001388,Alpha-Linolenic acid,4679.22,2776.07,4229.34,6636.29,2209.22,1147.06,1819.94,2348.08,2570.02,5652.01,1064.55,3150.62,6586.29,1903.89,2806.82,1076.45,3923.56,1625.03,3485.95,2258.56,890.54,6579.04,4054.19,562.85,3563.02,1272.6,2329.24,939.66,3034.95,2696.4
Fatty Acids,HMDB0000892,Valeric acid,33104.16,149007.92,599389.54,75960.79,20568.61,636756.56,157634.06,988203.23,808660.1,573575.6,294261.77,1021134.17,20196.33,394253.39,523607.36,74951.13,673273.48,456693.89,1263966.07,227239.73,178137.14,905899.49,1359630.4,154060.98,1585519.41,469965.98,402810.64,647749.89,423729.02,317571.57
Fatty Acids,HMDB0000535,Caproic acid,1.4,8.57,20.02,12.1,2.14,44.5,6.5,21.68,72.24,9.27,72.48,655.31,1.14,8.13,608.41,36.7,21.11,15.15,515.65,6.41,3.11,64.67,41.26,6.97,459.67,124.06,9.24,25.04,67.2,45.93
Fatty Acids,HMDB0001043,Arachidonic acid,205.58,185.74,4724.82,154.22,386.2,390.25,227.25,3074.97,374.14,1102.22,164.33,328.3,2329.57,85.59,122.86,274.25,361.91,132.28,254.91,156.6,270.62,282.87,667.19,138.64,227.14,649.8,363.26,231.24,178.31,119.94
Fatty Acids,HMDB0000237,Propionic acid,4382.89,5889.01,5791.67,13124.36,1645.53,7068.5,6051.19,5866.53,5968.29,4863.49,3579.35,6562.18,5.11,6649.72,5754.45,4630.83,11523.4,3691.98,6958.68,8871.18,3542.68,3740.49,9836.09,4946.92,9672.73,6350.84,8362.21,6541.16,5533.03,5643.6
Fatty Acids,HMDB0000826,Pentadecanoic acid,20.47,75.88,146.53,62.38,48.24,1438.94,33.38,521.74,153.31,82.78,169.42,330.02,24.06,398.23,669.36,41.01,1478.23,784.37,392.65,72.81,58.07,746.34,1463.83,38.97,420.43,52.75,153.55,191.59,92,71.65
Fatty Acids,HMDB0000039,Butyric acid,453.79,225.44,6405.9,744.99,31.65,7492.56,1658.63,6455.03,504,3799.92,320.76,5960.76,24.48,4085.09,6188.71,601.11,3866.3,4468.2,922.55,1794.1,1269.15,548.8,8892.28,1480.73,11916.86,4197.97,2804.77,431.01,3132.34,3543.22
Fatty Acids,HMDB0000754,3-Hydroxyisovaleric acid,2.24,7.56,11.41,6.17,7.71,12.06,4.13,103.11,6.8,8.4,6.88,1.68,5.41,5.18,30.06,5.18,6.8,6.05,5.89,1.26,5.04,11.99,14.26,10.1,37.96,22.19,5.17,5.28,4.2,3.6
Fatty Acids,HMDB0000482,Caprylic acid,12.95,84.58,14.16,18.45,14.27,33.69,15.06,25.03,16.53,31.93,11.59,117.41,2.83,9.99,82.25,9.79,15.57,20.84,37.21,10.47,8.71,21.97,19.87,12.55,23.63,11.74,19.94,13.45,53.3,17.6
Fatty Acids,HMDB0002368,Nervonic acid,1766.14,1936.09,1409.57,180.96,39938.39,3828,2816.75,379.04,1503.91,2792.18,49.39,178.5,2045.08,2393.38,1518.96,1031.96,11478.13,3094.73,1573.46,848.49,1650.12,21301.95,6974.6,24479,52.42,434.94,183.83,864.09,2274.83,33953.55
Fatty Acids,HMDB0000827,Stearic acid,170.24,407.9,817.29,258.76,133.1,1634.5,170.44,929.82,597.24,1271.2,269.27,1762.54,1668.1,98.84,287.83,171.38,2906.12,1288.86,682.18,83.34,226.37,737.13,493.53,140.77,1137.55,106.66,458.02,220.36,336.83,174.42
Fatty Acids,HMDB0002176,Ethylmethylacetic acid,2979.35,16944.64,91729.54,10269.96,1700.27,101780.31,10134.5,85761.74,53294.27,31419.52,50477.41,82358.95,1735.41,57359.41,72799.56,6807.96,56332.31,71238.02,107703.31,16924.76,10753.57,77743.35,105478.08,13645.1,83566.78,22775.53,35112.85,50314.7,37111.44,43701.63
Fatty Acids,HMDB0000220,Palmitic acid,2729.57,2703.53,2123.07,895.17,912.86,3209,483.56,3028.08,1571.63,2401,1180.97,1749.3,3024.48,1158.71,2613.22,814.08,4139.4,3276.59,2894.73,548.18,711.29,3629.35,4420.08,623.35,3029.39,893.24,1543.6,858.22,1060.46,829.09
Fatty Acids,HMDB0002183,Docosahexaenoic acid,54.65,107.27,333.05,8.55,66.98,31.56,6.51,39.4,27.06,41.95,14.05,60.92,30.91,26.3,8.58,20.8,33.94,35.03,11.81,45.98,14.19,114.33,14.59,45,34.04,18.2,20.29,25.43,92.07,14.88
Fatty Acids,HMDB0003229,Palmitoleic acid,148.43,159.89,563.78,117.74,623.14,197.44,117.31,515.93,217.1,53.96,187.56,156.94,473.88,50.44,164.08,231.61,49.2,137.19,109,184.38,120.56,189.09,1195.36,175.1,234.18,188.67,138.26,155.86,85.74,430.23
Fatty Acids,HMDB0000847,Pelargonic acid,15.28,17.39,28.39,19.19,20.57,118.56,7.13,6.65,24.31,32.3,7.33,20.21,2.17,3.32,16.76,7.61,45.21,19.1,18.04,15.73,7.64,38.44,38.15,1.91,32.02,7.01,3.89,2.26,9.27,8.62
Fatty Acids,HMDB0002003,Tetracosanoic acid,6.67,7.93,4.08,1.84,4.47,11.94,9,23.95,20.08,7.9,6.85,47.15,1.37,16.25,23.26,4.84,33.34,26.35,4.54,7.76,3.45,207.46,24.17,0.46,40.29,2.78,16.28,11.14,18.23,3.77
Fatty Acids,HMDB0031594,2-Methylhexanoic acid,60451.11,6693.29,6412.4,7448.82,2151.39,5686.31,29411.44,99267.84,25613.33,5530.88,3417.28,3308.86,21614.92,3992.13,394.59,25190.97,2294.42,23212.57,26725.43,2781.51,3750.22,27310.81,18343.02,19862.89,3608.25,4570.82,14573.55,6233.19,3222.39,2904.66
Fatty Acids,HMDB0002925,"8,11,14-Eicosatrienoic acid",67.77,79.1,103.8,102.71,86.33,86.12,118.25,126.53,96.49,125.41,83.34,91,132.32,97.27,80.1,157.4,74.91,113.35,146.75,85.31,72.2,84.92,377.43,77.01,104.08,74.94,71.22,152.19,106.85,368.06
Hydroxy acids,HMDB0000729,Alpha-Hydroxyisobutyric acid,21.4,0.36,1.36,0.29,104.33,0.61,1.17,201.98,3.61,3.11,2.23,1.44,8.72,0.72,22.43,5.01,0.69,0.56,2.12,2.01,3.86,0.95,0.17,20.52,1.81,7.99,2.55,0.8,0.6,7.5
Indoles,HMDB0001389,Melatonin,86.43,42.69,20.39,55.36,36.89,205.38,27.87,204.43,55.96,31.95,127.89,87.28,51.18,27.4,142.66,48.7,186.38,78.56,134.37,36.05,97.22,369.86,166.25,45.63,73.59,56.93,30.18,77.64,90.5,55.35
Indoles,HMDB0000197,Indoleacetic acid,1311.98,75.06,296.41,22.13,9.57,330.94,38.63,428.14,869.88,101.02,29,132.89,23.63,117.13,434.67,19.77,119.94,199.82,1040.92,78.9,103.69,931.48,611.66,36.92,760.41,1867.44,89.3,157.6,125.82,233.8
Indoles,HMDB0000738,Indole,2352.88,16035.44,56116.55,28386.35,540.35,35775.69,1353.56,32959.22,95241.55,19296.91,789.57,39911.82,330.57,25825.34,418.69,244.23,31548.01,9083.11,66453.55,6284.84,4370.98,60427.32,78055.75,5066.05,199806.98,895.94,26279.3,51199.25,16063.72,33703.76
Indoles,HMDB0000466,3-Methylindole,1.9,29.43,1.09,0.18,0.77,0.85,25.06,24.25,0.19,7.86,53.96,4.88,0.32,8.9,318.67,8.24,4.53,461.44,19.6,1.27,1.95,2.47,33,4.53,45.98,0.05,0.88,10.75,20.04,4.38
Keto acids,HMDB0000225,Oxoadipic acid,1788.98,2814.89,342.84,2466.23,4518.49,47.44,32.63,2684.61,2060.57,3531.72,2426.81,1910.97,565.48,188.57,1876.1,480.28,264.67,349.38,3001.38,2001.06,4647.76,344.24,3653.89,2446.69,4810.41,1010.53,3110.76,3549.46,1370.92,355.35
Nitriles,HMDB0006524,3-Indoleacetonitrile,147.96,61.07,576.33,106.92,31.65,55.56,68.5,313.11,1496.39,369.27,73.82,95.9,11.01,219.52,56.72,156,156.92,145.21,1021.44,382.58,74.63,395.31,125.38,442.78,217.41,356.07,460.12,86.14,183.38,1330.17
Nucleotide,HMDB0001366,Purine,42.39,54.26,187.35,56.6,23.33,23.48,13.45,276.11,17.13,178.26,24.22,31.42,38.23,75.12,25.66,21.68,30.26,42.59,17.34,26.33,105,19.57,35.59,3.97,22.55,28.05,19.59,213.22,74.59,33.72
Organic Acids,HMDB0000357,3-Hydroxybutyric acid,86.26,4607.71,4496.53,2276.15,364.22,13002.69,1476.13,178.92,1906.16,90.75,101.75,81.66,517.54,2430.16,128.95,2592.58,4787.59,5708.02,3932.83,2592.05,8681.89,8402.3,15916.64,121.88,7519.22,2151.76,1544.24,854.16,1760.73,2312.36
Organic Acids,HMDB0000020,p-Hydroxyphenylacetic acid,143.53,63.28,610.4,105.46,35.57,54.69,68.31,338.38,1439.69,397.47,77.63,101.4,14.74,228.79,60.83,155.71,159.72,150.6,1041.4,401.16,77.55,438.9,133.7,465.56,231.18,361.29,467.91,89.1,184.2,1352.48
Organic Acids,HMDB0000857,Pimelic acid,11.23,135.76,1052.63,83.83,8.12,78.31,80.69,80.48,26.2,36.6,236.53,21.39,13.93,409.43,284.55,55.05,181.01,491.56,241.62,204.36,431.27,433.23,35.6,249.29,246.06,161.13,35.35,258.67,113.17,262.69
Organic Acids,HMDB0000072,cis-Aconitic acid,35.17,56.41,13.08,86.4,41.51,36.56,35.5,104.01,35.57,37.78,19.44,40.95,95.93,17.92,30.48,33.67,31.07,36.29,16.97,36.03,36.66,34.96,23.36,35.84,36.37,20.58,12.25,29.48,31.38,33.66
